File Name,Naive F1 Score 69,Naive F1 Score 71,Naive F1 Score 72,Ground F1 Score 69,Ground F1 Score 71,Ground F1 Score 72
673.midi,0.0664188351920694,0.04117499372332413,0.1195468787659677,0.1661807580174927,0.0,0.09359605911330049
632.midi,0.04662822762597142,0.043194374686087396,0.05005005005005005,0.0,0.0,0.0744047619047619
798.midi,0.08314220183486239,0.05129699795977849,0.113431151241535,0.09989665862900447,0.0,0.0
1190.midi,0.0,0.11364485981308411,0.03733955659276546,0.0,0.0,0.03733955659276546
633.midi,0.014210919970082274,0.06909090909090909,0.1283045470567501,0.0,0.10770975056689343,0.0
234.midi,0.0,0.0306391970417327,0.004816697886004816,0.0,0.0,0.0
388.midi,0.07723112128146453,0.041375291375291376,0.07778095510437517,0.1427061310782241,0.02768166089965398,0.0
737.midi,0.019812039624079247,0.039235412474849095,0.03726082578046324,0.0,0.04663677130044843,0.0
1186.midi,0.032426778242677826,0.04011461318051576,0.01791359325605901,0.045112781954887216,0.0,0.015596880623875225
625.midi,0.0125,0.029165147648559972,0.0863716814159292,0.023842917251051893,0.0,0.0
824.midi,0.25257501119570086,0.018283392585068562,0.0,0.0,0.0,0.0
127.midi,0.22039698836413416,0.08870374908110758,0.17757009345794392,0.0,0.19490586932447398,0.20067453625632378
920.midi,0.07027963375402128,0.05487652781242205,0.06019900497512438,0.116107931316435,0.012048192771084338,0.0
795.midi,0.2487185201693782,0.1981196973171291,0.1860572483841182,0.0,0.0,0.0
1173.midi,0.17667679364337463,0.14943074003795068,0.1361681796464405,0.030799801291604572,0.12423625254582485,0.22929936305732485
957.midi,0.018819938962360123,0.026349125918419054,0.0020518081559374197,0.018819938962360123,0.0,0.0
111.midi,0.10545549464891674,0.025571273122959738,0.1074315514993481,0.12106682649086005,0.0,0.0
49.midi,0.02399183256763655,0.028018339276617423,0.02651032373183788,0.0,0.0,0.02651032373183788
73.midi,0.09154577288644322,0.015088449531737774,0.13720703125,0.0,0.01673056814220983,0.0
255.midi,0.08122077282795964,0.10408560311284047,0.2567084078711986,0.0,0.13308457711442787,0.0
351.midi,0.09302325581395349,0.14175506268081003,0.17302678359800902,0.09302325581395349,0.0,0.0
644.midi,0.005124263387138099,0.021346886912325287,0.05301325331332833,0.005763688760806916,0.0,0.0
423.midi,0.16340946550506238,0.15646419286220753,0.14285714285714285,0.18721338009171837,0.0,0.0
970.midi,0.006644518272425249,0.03229061553985873,0.05146140394703972,0.0,0.0,0.08728813559322034
1011.midi,0.006133401482238692,0.01828803657607315,0.01828803657607315,0.007213706041478809,0.0,0.0
1050.midi,0.02382159148504815,0.004605936540429887,0.026322450012655024,0.028185907046476763,0.0,0.0
1247.midi,0.013986013986013986,0.00825082508250825,0.016433853738701727,0.024199288256227757,0.0,0.0
54.midi,0.0961975950601235,0.09123492994460737,0.1886209029066172,0.0,0.22950819672131148,0.0
634.midi,0.10921325051759834,0.14568527918781726,0.21325507459036439,0.013071895424836602,0.16428571428571428,0.0
9.midi,0.020111140513363324,0.07858243451463791,0.0048,0.0,0.01991465149359886,0.0
643.midi,0.06422786931024853,0.018296169239565466,0.03403289846851957,0.0437375745526839,0.03825136612021858,0.0
35.midi,0.2472711071508131,0.011624968410411928,0.007596859964547987,0.0,0.0,0.009325458501709667
751.midi,0.01732484076433121,0.03534460994698309,0.0005138746145940391,0.024700326916091538,0.0,0.0
614.midi,0.0,0.20073834794646978,0.0421792618629174,0.0,0.4172661870503597,0.022288898414059153
1271.midi,0.015293118096856415,0.009373668512995313,0.00767590618336887,0.0,0.0,0.0
317.midi,0.08331279270396845,0.025894897182025894,0.034874905231235785,0.08331279270396845,0.0,0.0
205.midi,0.004079967360261118,0.03691813804173355,0.06487341772151899,0.0,0.06036745406824147,0.0
784.midi,0.05285050159040861,0.07452213888216792,0.12089728453364817,0.05285050159040861,0.0,0.0
946.midi,0.0,0.002064516129032258,0.03352806705613411,0.0,0.002064516129032258,0.0
550.midi,0.09710743801652892,0.12136664966853646,0.12280254777070064,0.20251396648044692,0.024786986831913247,0.0
116.midi,0.0016008537886872999,0.0,0.0,0.001968503937007874,0.0,0.0
1031.midi,0.05067873303167421,0.0471441523118767,0.04300423985463356,0.18181818181818182,0.004,0.0
1174.midi,0.07549962990377498,0.11457577955039884,0.08635917566241413,0.081203007518797,0.07476635514018691,0.17975402081362346
842.midi,0.041413583655438985,0.06755652410787251,0.048954895489548955,0.0,0.14770696843359143,0.0
638.midi,0.26158645276292336,0.18262287444677383,0.0538787727612871,0.11351351351351352,0.19691969196919692,0.056790123456790124
269.midi,0.07075705096486888,0.028816986855409503,0.12728146013448607,0.0,0.0,0.16495487083722377
639.midi,0.0,0.04854854854854855,0.0066462167689161555,0.0,0.0,0.0072992700729927005
1030.midi,0.053462321792260695,0.053462321792260695,0.05593694380879736,0.0,0.03090687271248475,0.1286031042128603
1175.midi,0.0768025078369906,0.11133914828116984,0.22687861271676302,0.012058570198105082,0.13162118780096307,0.36510194404931245
843.midi,0.02232935803095661,0.38600124249326984,0.039738430583501,0.02232935803095661,0.0,0.0
117.midi,0.08738394320043692,0.18219569166882948,0.11922663802363051,0.08738394320043692,0.0,0.0
947.midi,0.06493184634448575,0.11081538833776917,0.1280268520738432,0.07148703956343792,0.0,0.0
551.midi,0.01097560975609756,0.013398294762484775,0.046706586826347304,0.0,0.009734513274336283,0.034482758620689655
101.midi,0.027777777777777776,0.018772196854388634,0.0381813614669681,0.0344180225281602,0.0,0.0
785.midi,0.15016579819990525,0.17736289381563594,0.1536643026004728,0.06788866259334692,0.29347826086956524,0.0
341.midi,0.002059202059202059,0.0030872137895549268,0.0,0.0,0.003781909864481563,0.0
75.midi,0.0,0.0,0.0,0.0,0.0,0.0
316.midi,0.14783731439638476,0.06866374957926624,0.05886332882273342,0.14783731439638476,0.0,0.0
603.midi,0.02382159148504815,0.0167853509664293,0.02382159148504815,0.0,0.06775407779171895,0.013199245757385292
480.midi,0.002817695125387433,0.006749156355455568,0.0,0.0,0.007033997655334115,0.0
615.midi,0.01677681748856126,0.03426555807508189,0.018791264601320468,0.0,0.0,0.018791264601320468
1270.midi,0.02276319949415112,0.025883838383838384,0.010814249363867684,0.0,0.0,0.016658500734933857
34.midi,0.0,0.0035571365051133837,0.0,0.0,0.0,0.0
880.midi,0.12839059674502712,0.16272189349112426,0.09567617295308188,0.20431472081218274,0.0,0.01710445937690898
635.midi,0.03036876355748373,0.0415206255055271,0.019089173711480775,0.0,0.16279069767441862,0.053475935828877004
727.midi,0.0,0.0,0.0,0.0,0.0,0.0
674.midi,0.1842717543043276,0.3049522154648132,0.1981066728238282,0.0,0.0,0.22843450479233227
273.midi,0.03968049471785622,0.0401854714064915,0.0700152207001522,0.0,0.0,0.0700152207001522
121.midi,0.2658959537572254,0.17330210772833723,0.08870374908110758,0.26971428571428574,0.097953216374269,0.0
475.midi,0.008203024865419123,0.008203024865419123,0.025412960609911054,0.025889967637540454,0.018223234624145785,0.0
971.midi,0.011215906194239103,0.040683073832245106,0.06016907011437096,0.02630005977286312,0.030848329048843187,0.0
636.midi,0.06507230255839822,0.1509433962264151,0.10357045516489506,0.0,0.07749077490774908,0.1784037558685446
118.midi,0.004095213718965958,0.047082394189832205,0.004095213718965958,0.0,0.0,0.005687877710629221
374.midi,0.008703220191470844,0.0410958904109589,0.013026487190620929,0.0,0.0,0.023696682464454975
948.midi,0.006772597030476686,0.0,0.0,0.0,0.0,0.0
1183.midi,0.149988058275615,0.13034033309196236,0.09211822660098522,0.09481481481481481,0.10608552631578948,0.0
1245.midi,0.0,0.0025846471956577927,0.011322696860524962,0.0,0.007680491551459293,0.0
270.midi,0.007148327801889201,0.010703363914373088,0.03276209677419355,0.0,0.0,0.0703125
95.midi,0.026302478502781994,0.026801517067003792,0.045090180360721446,0.0,0.1744421906693712,0.03629872061886343
122.midi,0.09381663113006397,0.09032651815685078,0.09381663113006397,0.09381663113006397,0.0,0.0
933.midi,0.11930405965202982,0.10412026726057906,0.05595204110762204,0.0,0.10412026726057906,0.0
175.midi,0.0759181661326103,0.1307471264367816,0.1401000714796283,0.07811311184377377,0.0,0.0
476.midi,0.003121748178980229,0.0026021337496747333,0.0,0.007075471698113208,0.0,0.0
1013.midi,0.0729483282674772,0.04220277920741122,0.13346418056918546,0.0,0.06264323911382735,0.0
